City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
332,Pedasi,PA,7.5333,-80.0333,76.41,77,100,18.48,overcast clouds
333,Lancaster,US,40.2504,-76.2499,30.99,59,1,5.14,clear sky
334,Galesong,ID,-5.3166,119.3661,87.8,70,20,10.36,few clouds
335,Labuan,MY,5.2767,115.2417,87.8,66,20,5.75,few clouds
336,Porto Novo,BJ,6.4965,2.6036,82.4,89,40,3.44,scattered clouds
337,El Bordo,CO,2.117,-76.9821,65.93,89,100,0.45,overcast clouds
338,Carballo,ES,43.213,-8.691,45.0,96,95,3.94,overcast clouds
339,Madang,PG,-5.2246,145.7966,83.12,84,100,5.35,overcast clouds
340,Rio Grande,BR,-32.035,-52.0986,73.99,95,85,10.33,overcast clouds
341,Belaya Gora,RU,68.5333,146.4167,-24.95,97,100,5.17,overcast clouds
342,Lanzhou,CN,36.0564,103.7922,51.8,17,20,6.71,few clouds
343,Terra Santa,BR,-2.1042,-56.4869,71.74,97,97,1.43,overcast clouds
344,Berdigestyakh,RU,62.0989,126.6992,-15.54,90,97,4.34,overcast clouds
345,Mollet Del Valles,ES,41.5403,2.2131,55.0,93,75,3.44,broken clouds
